Project Rank,Holder Rank,Address,Reward (sFTMx),Reward ($)
Winner 1,532,0x827f7e4381022ce855d788e1828b3f0054a8195a,10.89354813,7.032874673
Winner 1,533,0xe7d3126ae556f096c47b0ff1ce2606a4aebc4bec,10.79412855,6.968689392
Winner 1,534,0x10284b8376939fb5d4e8832799abb06909159202,10.57617238,6.827976889
Winner 1,535,0x85d5f9aa64848677b5972603a04a0ffb2f321038,10.52136014,6.792590106
Winner 1,536,0x38e503466f97d8b9d7c5e259be44d443ac177922,10.39613158,6.711742548
Winner 1,537,0x6e062761e1ed9ffc849badacba81c8b9984945d9,10.22385157,6.600518574
Winner 1,538,0xfa526bc5d951df1562cbf478ea83c013bdf271e2,10.17338843,6.56793957
Winner 1,539,0xb2b2f868eb5577ec70f642ed7d394076d142ef96,10.17263046,6.567450225
Winner 1,540,0x164ceba801e2b6a7b60f2b0eb1165c433e87dfc9,9.793581174,6.322736006
Winner 1,541,0x4bb3ce1e37d3c2848e0180914e9ee98c5da6997b,9.721264535,6.276048384
Winner 1,542,0xf64de987ed9548b6d89d1806379a3247a7588b57,9.709782564,6.268635623
Winner 1,543,0x5bfb51eca83a49b4b9aa79e814e0f5c284406625,9.709782564,6.268635623
Winner 1,544,0x8a881fb7bc78796e206bdd61cba223df44316f90,9.709782564,6.268635623
Winner 1,545,0xb261415b9cc9ef32e9c4a70f58df8027e17ca332,9.709782564,6.268635623
Winner 1,546,0x10526b0ad1a5c7cea62b9868d2e85410134cdcdd,9.709782564,6.268635623
Winner 1,547,0xdcc25b0b71ddfabfd2e3ba74879e58b288bc2e4c,9.709782564,6.268635623
Winner 1,548,0x25ca93c584756d674d6fe6d1e241a89791b18df3,9.709782564,6.268635623
Winner 1,549,0xcf5d1badc055ae644ac632382b5e2acbbe0327d7,9.709782564,6.268635623
Winner 1,550,0x394c357db3177e33bde63f259f0eb2c04a46827c,9.709782564,6.268635623
Winner 1,551,0x36c4c53bb6b0b8c59e98b35a1eabb5d43b5bc27f,9.709782564,6.268635623
Winner 1,552,0xab4e8b454cb3a22864cee7f526b9456b19d78e93,9.709782564,6.268635623
Winner 1,553,0x7dde93fb4387951124f2937ea3720320bda83c29,9.709782564,6.268635623
Winner 1,554,0xb672173cba2613d49f53a59f1d47f650d2f23602,9.709782564,6.268635623
Winner 1,555,0xc42101367930cc03f1e36f5ca2e1e39ed58bf236,9.709782564,6.268635623
Winner 1,556,0x8c01b3606761b2aa382afbc7fe4f9b1335fe0860,9.709782564,6.268635623
Winner 1,557,0x786d9ad028e1674ca79f5691154fcd8427859263,9.709782564,6.268635623
Winner 1,558,0xeb9e10af3bfb44c8c560c61caf80e9ca742c5d35,9.709782564,6.268635623
Winner 1,559,0x6c33125ea9e5c54a903326abd521315ff7ff5d7a,9.709782564,6.268635623
Winner 1,560,0x84070b84a25cbabcff073d493c7ff0c5d7db7734,9.709782564,6.268635623
Winner 1,561,0x46f0849df698b6c5e31936b21ea28f301fb8d7e2,9.709782564,6.268635623
Winner 1,562,0xf3ddbc4f3265734f361b1bd0a481b4f7bfd64254,9.709782564,6.268635623
Winner 1,563,0xbb357a299e62d75787ef4e4c0e7119fe89d2539a,9.709782564,6.268635623
Winner 1,564,0x3d9e679a8221e4e7dde9c2a59eadd9e2502f1bf7,9.709782564,6.268635623
Winner 1,565,0xd6980b8f28d0b6fa89b7476841e341c57508a3f6,9.709782564,6.268635623
Winner 1,566,0xa20ca7c6705fb88847cbf50549d7a38f4e99d32c,9.709782564,6.268635623
Winner 1,567,0xba84ba276d94fb7c51eeec4f2c4b584d9fcc6417,9.709782564,6.268635623
Winner 1,568,0x89a8ca7d0d3eee3fab3afab7263af619a50e6fd6,9.709782564,6.268635623
Winner 1,569,0xcc5307080a0b5be5bb717911ec4b2000ced036a7,9.709782564,6.268635623
Winner 1,570,0x250ac1b24a33df84d4572c48582cfb32d85234a5,9.709782564,6.268635623
Winner 1,571,0x069e85d4f1010dd961897dc8c095fbb5ff297434,9.709782564,6.268635623
Winner 1,572,0x029f5cb93f391dd140b03af7b8d492a17a6a073a,9.610481536,6.20452688
Winner 1,573,0x3af008655608a7f81b09e6f2c8caeaf89dfbc426,9.577834751,6.183450115
